gid:0, code:000001, symbol:平安银行 
gid:14400, code:000554, symbol:泰山石油 
gid:14500, code:000555, symbol:神州信息 
gid:14600, code:000557, symbol:西部创业 
gid:14700, code:000558, symbol:莱茵体育 
gid:14800, code:000559, symbol:万向钱潮 
gid:14900, code:000560, symbol:昆百大Ａ 
gid:15000, code:000561, symbol:烽火电子 
gid:15100, code:000563, symbol:陕国投Ａ 
gid:15200, code:000564, symbol:供销大集 
gid:15300, code:000565, symbol:渝三峡Ａ 
gid:15400, code:000566, symbol:海南海药 
gid:15500, code:000567, symbol:海德股份 
gid:15600, code:000568, symbol:泸州老窖 
gid:15700, code:000570, symbol:苏常柴Ａ 
gid:15800, code:000571, symbol:新大洲Ａ 
gid:15900, code:000572, symbol:海马汽车 
gid:16000, code:000573, symbol:粤宏远Ａ 
gid:16100, code:000576, symbol:广东甘化 
gid:16200, code:000581, symbol:威孚高科 
gid:16300, code:000582, symbol:北部湾港 
gid:16400, code:000584, symbol:友利控股 
gid:16500, code:000585, symbol:东北电气 
gid:16600, code:000586, symbol:汇源通信 
gid:16700, code:000587, symbol:金洲慈航 
gid:16800, code:000589, symbol:黔轮胎Ａ 
gid:16900, code:000590, symbol:启迪古汉 
gid:17000, code:000591, symbol:太阳能 
gid:17100, code:000592, symbol:平潭发展 
gid:17200, code:000593, symbol:大通燃气 
gid:17300, code:000595, symbol:*ST宝实 
gid:17400, code:000596, symbol:古井贡酒 
gid:17500, code:000597, symbol:东北制药 
gid:17600, code:000598, symbol:兴蓉环境 
gid:17700, code:000599, symbol:青岛双星 
gid:17800, code:000600, symbol:建投能源 
gid:17900, code:000601, symbol:韶能股份 
gid:18000, code:000603, symbol:盛达矿业 
gid:18100, code:000605, symbol:渤海股份 
gid:18200, code:000606, symbol:神州易桥 
gid:18300, code:000607, symbol:华媒控股 
gid:18400, code:000608, symbol:阳光股份 
gid:18500, code:000609, symbol:绵石投资 
gid:18600, code:000610, symbol:西安旅游 
gid:18700, code:000611, symbol:天首发展 
gid:18800, code:000612, symbol:焦作万方 
gid:18900, code:000613, symbol:*ST东海A 
gid:19000, code:000615, symbol:京汉股份 
gid:19100, code:000616, symbol:海航投资 
gid:19200, code:000617, symbol:中油资本 
gid:19300, code:000619, symbol:海螺型材 
gid:19400, code:000620, symbol:新华联 
gid:19500, code:000622, symbol:恒立实业 
gid:19600, code:000623, symbol:吉林敖东 
gid:19700, code:000625, symbol:长安汽车 
gid:19800, code:000626, symbol:远大控股 
gid:19900, code:000627, symbol:天茂集团 
gid:20000, code:000628, symbol:高新发展 
gid:20100, code:000630, symbol:铜陵有色 
gid:20200, code:000631, symbol:顺发恒业 
gid:20300, code:000632, symbol:三木集团 
gid:20400, code:000633, symbol:合金投资 
gid:20500, code:000635, symbol:英 力 特 
gid:20600, code:000636, symbol:风华高科 
