gid:15301, code:990819, symbol:有色金属 
gid:15401, code:990821, symbol:300红利 
gid:15501, code:990823, symbol:800有色 
gid:15601, code:990827, symbol:中证环保 
gid:15701, code:990828, symbol:300高贝 
gid:15801, code:990832, symbol:中证转债 
gid:15901, code:990833, symbol:中高企债 
gid:16001, code:990841, symbol:800医药 
gid:16101, code:990842, symbol:800等权 
gid:16201, code:990846, symbol:ESG 100 
gid:16301, code:990847, symbol:腾讯济安 
gid:16401, code:990849, symbol:300非银 
gid:16501, code:990850, symbol:300有色 
gid:16601, code:990851, symbol:百发100 
gid:16701, code:990852, symbol:中证1000 
gid:16801, code:990853, symbol:CSSW丝路 
gid:16901, code:990854, symbol:500原料 
gid:17001, code:990855, symbol:央视500 
gid:17101, code:990856, symbol:500工业 
gid:17201, code:990857, symbol:500医药 
gid:17301, code:990858, symbol:500信息 
gid:17401, code:990863, symbol:CS精准医 
gid:17501, code:990865, symbol:上海国企 
gid:17601, code:990867, symbol:港中小企 
gid:17701, code:990869, symbol:HK银行 
gid:17801, code:990891, symbol:新兴综指 
gid:17901, code:990901, symbol:小康指数 
gid:18001, code:990903, symbol:中证100 
gid:18101, code:990904, symbol:中证200 
gid:18201, code:990905, symbol:中证500 
gid:18301, code:990906, symbol:中证800 
gid:18401, code:990908, symbol:300能源 
gid:18501, code:990909, symbol:300材料 
gid:18601, code:990910, symbol:300工业 
gid:18701, code:990911, symbol:300可选 
gid:18801, code:990912, symbol:300消费 
gid:18901, code:990913, symbol:300医药 
gid:19001, code:990914, symbol:300金融 
gid:19101, code:990917, symbol:300公用 
gid:19201, code:990918, symbol:300成长 
gid:19301, code:990919, symbol:300价值 
gid:19401, code:990922, symbol:中证红利 
gid:19501, code:990925, symbol:基本面50 
gid:19601, code:990928, symbol:中证能源 
gid:19701, code:990931, symbol:中证可选 
gid:19801, code:990932, symbol:中证消费 
gid:19901, code:990933, symbol:中证医药 
gid:20001, code:990934, symbol:中证金融 
gid:20101, code:990935, symbol:中证信息 
gid:20201, code:990939, symbol:民企200 
gid:20301, code:990940, symbol:财富大盘 
gid:20401, code:990944, symbol:内地资源 
gid:20501, code:990950, symbol:300基建 
gid:20601, code:990951, symbol:300银行 
gid:20701, code:990952, symbol:300地产 
gid:20801, code:990957, symbol:300运输 
gid:20901, code:990958, symbol:创业成长 
gid:21001, code:990959, symbol:银河99 
gid:21101, code:990961, symbol:中证上游 
gid:21201, code:990963, symbol:中证下游 
gid:21301, code:990964, symbol:中证新兴 
gid:21401, code:990966, symbol:基本400 
gid:21501, code:990969, symbol:300非周 
gid:21601, code:990971, symbol:等权90 
gid:21701, code:990973, symbol:技术领先 
gid:21801, code:990974, symbol:800金融 
gid:21901, code:990975, symbol:钱江30 
gid:22001, code:990977, symbol:内地低碳 
gid:22101, code:990978, symbol:医药100 
gid:22201, code:990979, symbol:大宗商品 
gid:22301, code:990982, symbol:500等权 
gid:22401, code:990983, symbol:智能资产 
gid:22501, code:990984, symbol:300等权 
gid:22601, code:990986, symbol:全指能源 
gid:22701, code:990987, symbol:全指材料 
gid:22801, code:990989, symbol:全指可选 
gid:22901, code:990990, symbol:全指消费 
gid:23001, code:990991, symbol:全指医药 
gid:23101, code:990992, symbol:全指金融 
gid:23201, code:990993, symbol:全指信息 
gid:23301, code:990996, symbol:领先行业 
gid:23401, code:990997, symbol:大消费 
gid:23501, code:990998, symbol:中证TMT 
gid:23601, code:990999, symbol:两岸三地 
gid:23701, code:010107, symbol:21国债⑺ 
gid:23801, code:010213, symbol:02国债⒀ 
gid:23901, code:010303, symbol:03国债⑶ 
gid:24001, code:010504, symbol:05国债⑷ 
gid:24101, code:010512, symbol:05国债⑿ 
gid:24201, code:010609, symbol:06国债⑼ 
gid:24301, code:010619, symbol:06国债⒆ 
gid:24401, code:010706, symbol:07国债06 
gid:24501, code:010713, symbol:07国债13 
gid:24601, code:018002, symbol:国开1302 
gid:24701, code:018003, symbol:国开1401 
gid:24801, code:018005, symbol:国开1701 
gid:24901, code:018006, symbol:国开1702 
gid:25001, code:019002, symbol:10国债02 
gid:25101, code:019003, symbol:10国债03 
gid:25201, code:019007, symbol:10国债07 
gid:25301, code:019009, symbol:10国债09 
gid:25401, code:019012, symbol:10国债12 
gid:25501, code:019014, symbol:10国债14 
gid:25601, code:019018, symbol:10国债18 
gid:25701, code:019019, symbol:10国债19 
gid:25801, code:019022, symbol:10国债22 
gid:25901, code:019023, symbol:10国债23 
gid:26001, code:019024, symbol:10国债24 
gid:26101, code:019026, symbol:10国债26 
gid:26201, code:019027, symbol:10国债27 
gid:26301, code:019029, symbol:10国债29 
gid:26401, code:019031, symbol:10国债31 
gid:26501, code:019032, symbol:10国债32 
gid:26601, code:019034, symbol:10国债34 
gid:26701, code:019037, symbol:10国债37 
gid:26801, code:019038, symbol:10国债38 
gid:26901, code:019040, symbol:10国债40 
gid:27001, code:019041, symbol:10国债41 
gid:27101, code:019102, symbol:11国债02 
gid:27201, code:019103, symbol:11国债03 
gid:27301, code:019105, symbol:11国债05 
gid:27401, code:019106, symbol:11国债06 
gid:27501, code:019108, symbol:11国债08 
gid:27601, code:019110, symbol:11国债10 
gid:27701, code:019112, symbol:11国债12 
gid:27801, code:019115, symbol:11国债15 
gid:27901, code:019116, symbol:11国债16 
gid:28001, code:019117, symbol:11国债17 
gid:28101, code:019119, symbol:11国债19 
gid:28201, code:019121, symbol:11国债21 
gid:28301, code:019123, symbol:11国债23 
gid:28401, code:019124, symbol:11国债24 
gid:28501, code:019204, symbol:12国债04 
